Technique,Model,Use_Case,Pre_Compression_Accuracy (%),Post_Compression_Accuracy (%),Model_Size_MB_Before,Model_Size_MB_After,Inference_Time_Before (ms),Inference_Time_After (ms),Energy_Consumption_After (mWh),Device_Type,Network_Availability,Location
Knowledge Distillation,SqueezeNet,Education,84.4,83.2,58,22.8,474.9,258.7,22.5,Mid-Range,Poor,Uttar Pradesh
Weight Sharing,MobileNet,Healthcare,87.3,86.4,69.1,40.3,238.8,182.6,14.3,Mid-Range,Good,Jharkhand
Pruning,SqueezeNet,Agriculture,86,85.4,19,7.4,346.1,208.3,30.7,Mid-Range,Moderate,Madhya Pradesh
Quantization,ResNet50,Education,87.1,84.4,96.7,56.7,598.4,369.2,33.2,Low-End,Moderate,Tamil Nadu
Knowledge Distillation,ResNet18,Healthcare,87.4,86.4,34.2,10.6,163.7,91.8,10.2,Low-End,Good,Andhra Pradesh
Weight Sharing,MobileNetV2,Education,91.2,90.3,61,23.8,384.5,192.3,38.2,Mid-Range,Poor,Jharkhand
Pruning,SqueezeNet,Healthcare,88.3,86.9,60,21.2,594.3,418.5,31.7,Low-End,Poor,Madhya Pradesh
Quantization,EfficientNet,Education,90,88.3,63.4,44.3,321.5,174.3,15.6,Mid-Range,Good,Jharkhand
Knowledge Distillation,EfficientNet,Education,87.6,86,30.4,18.7,505.4,370.1,16.1,Mid-Range,Moderate,Andhra Pradesh
Weight Sharing,MobileNetV2,Education,86.5,85.1,29.7,14.9,283.6,174.1,26.2,Mid-Range,Good,Assam
Pruning,MobileNet,Healthcare,88.2,87.2,61.1,31.1,418.9,318.2,25.8,Low-End,Poor,Madhya Pradesh
Quantization,ResNet18,Agriculture,89.4,87.5,95.9,50.5,357.2,223.2,27.7,Low-End,Moderate,Madhya Pradesh
Knowledge Distillation,ResNet50,Agriculture,89.7,88.6,72.6,24.7,519.7,412,22.5,Low-End,Good,Tamil Nadu
Weight Sharing,MobileNetV2,Agriculture,83.6,81.4,91.5,49.6,184.9,122.5,24.4,Mid-Range,Moderate,Odisha
Pruning,ResNet18,Education,88.6,86.4,43.1,23.3,155,100.7,13.3,Low-End,Poor,Manipur
Quantization,MobileNet,Healthcare,86.1,84.5,44,15.2,411.6,218.1,30.5,Low-End,Poor,Manipur
Knowledge Distillation,ResNet50,Education,93,90.9,28.4,12.6,526.3,412.4,31.2,Mid-Range,Moderate,Jharkhand
Weight Sharing,EfficientNet,Healthcare,86.3,85.6,81.8,27.1,570,289.7,29.4,Mid-Range,Moderate,Assam
Pruning,ResNet50,Education,84.8,83.6,38.8,19.3,441.8,294.7,19.9,Mid-Range,Good,Odisha
Quantization,MobileNetV2,Agriculture,85.7,83.8,18.3,12.2,456.6,317.9,36.3,Low-End,Poor,Madhya Pradesh
Knowledge Distillation,EfficientNet,Education,83,81.2,60.7,31,247.3,154.9,11,Mid-Range,Poor,Manipur
Weight Sharing,MobileNetV2,Agriculture,93.1,91.7,30.8,21,515.4,384.8,22.1,Mid-Range,Moderate,Bihar
Pruning,ResNet18,Healthcare,92.6,90.9,97,40,453.7,295.5,13.9,Mid-Range,Moderate,Bihar
Quantization,MobileNetV2,Education,83.4,82.6,72.8,43.2,165.2,114.3,19.6,Low-End,Moderate,Assam
Knowledge Distillation,MobileNet,Agriculture,83.5,81.6,93.5,57.2,369,247.4,35.3,Low-End,Poor,Bihar
Weight Sharing,SqueezeNet,Healthcare,85.7,82.9,20.7,11.3,242.1,139.6,18.6,Low-End,Poor,Odisha
Pruning,ResNet18,Agriculture,87.7,85.8,73.9,39,402.6,260.1,22.4,Low-End,Good,West Bengal
Quantization,MobileNet,Education,83.1,81.3,39.7,25,421.4,336,39.1,Low-End,Moderate,Chhattisgarh
Knowledge Distillation,SqueezeNet,Agriculture,93.2,91.8,70.2,45.1,381.8,260.1,13.5,Mid-Range,Moderate,Manipur
Weight Sharing,EfficientNet,Agriculture,85,84.4,28.3,14.8,498.4,390.5,14.5,Low-End,Good,Assam
Pruning,ResNet18,Healthcare,91.6,90.5,77.7,47.4,184.1,130.5,13.4,Mid-Range,Poor,West Bengal
Quantization,ResNet50,Healthcare,90.8,88.6,68.3,34.9,341.7,233.7,27.9,Mid-Range,Poor,Manipur
Knowledge Distillation,EfficientNet,Healthcare,86.1,84.1,53.7,25.7,505.1,396.3,33.4,Low-End,Good,Assam
Weight Sharing,ResNet50,Agriculture,84.6,83.2,52.4,31.2,303.4,180.5,39.6,Low-End,Poor,Odisha
Pruning,MobileNet,Agriculture,88.1,85.1,31.2,12.2,363.4,224.4,32.5,Mid-Range,Good,Uttar Pradesh
Quantization,EfficientNet,Agriculture,85.2,83.6,68.8,25,455.3,318.6,34.3,Low-End,Poor,Bihar
Knowledge Distillation,ResNet18,Agriculture,90.6,88.4,9.2,3.9,228.5,182.3,18.2,Mid-Range,Moderate,West Bengal
Weight Sharing,ResNet18,Healthcare,86.6,85.4,88.3,45.2,481.4,350.8,23.8,Mid-Range,Good,Assam
Pruning,ResNet50,Agriculture,86.2,83.7,85.5,44.4,399.5,202.5,36.7,Mid-Range,Moderate,Chhattisgarh
Quantization,EfficientNet,Agriculture,84.5,84,68.5,43.5,457.5,261.1,26.6,Low-End,Good,West Bengal
Knowledge Distillation,MobileNetV2,Education,87.6,86.9,29.3,18.3,452.4,282,34.7,Low-End,Good,Manipur
Weight Sharing,MobileNetV2,Education,87.7,86.3,35.5,24.3,544,413.6,10.5,Mid-Range,Good,Odisha
Pruning,MobileNet,Agriculture,84.2,83,71.1,27.1,290.6,232.4,26,Low-End,Moderate,Uttar Pradesh
Quantization,MobileNetV2,Education,92.6,91.1,38.2,13.3,575.6,340.2,33.8,Low-End,Poor,West Bengal
Knowledge Distillation,ResNet18,Education,84.3,81.7,88.8,34.7,164.9,93.4,31.6,Low-End,Poor,Andhra Pradesh
Weight Sharing,ResNet18,Agriculture,91.6,90.4,44.7,30.7,447.1,238.6,14.3,Low-End,Moderate,Odisha
Pruning,MobileNetV2,Healthcare,84.4,81.5,83.8,57.1,579.7,371.3,19.1,Mid-Range,Poor,Madhya Pradesh
Quantization,MobileNet,Agriculture,93.2,91.8,39.2,16.5,358.7,221,32.6,Mid-Range,Poor,Uttar Pradesh
Knowledge Distillation,SqueezeNet,Healthcare,85.3,84,11.4,4.1,527.7,333.3,11.9,Mid-Range,Good,Chhattisgarh
Weight Sharing,MobileNet,Healthcare,85.2,83.9,81.2,53.5,420.3,307.8,35.5,Low-End,Good,Andhra Pradesh
Pruning,MobileNet,Agriculture,87.7,85.5,14.2,4.8,556.8,412.7,39.3,Mid-Range,Good,Odisha
Quantization,MobileNetV2,Healthcare,88.5,88,46.5,23.8,592,338.6,39.1,Low-End,Moderate,West Bengal
Knowledge Distillation,SqueezeNet,Agriculture,91.9,89.5,63.6,41.3,403.3,236.3,39.1,Low-End,Moderate,West Bengal
Weight Sharing,SqueezeNet,Education,88.4,86.4,5.7,3.6,538.9,383.8,23.3,Mid-Range,Poor,Assam
Pruning,MobileNetV2,Healthcare,94,93.1,62.4,19.7,354.1,242.8,21.3,Mid-Range,Poor,Odisha
Quantization,SqueezeNet,Agriculture,90.1,88.9,39.6,17.1,549.1,309.9,24.2,Mid-Range,Moderate,Bihar
Knowledge Distillation,MobileNet,Healthcare,87.8,87.2,76.9,40.8,557.5,360.2,23.7,Mid-Range,Moderate,West Bengal
Weight Sharing,MobileNetV2,Healthcare,88.6,86.8,20.4,9.9,341.9,247.4,39.4,Low-End,Poor,Madhya Pradesh
Pruning,ResNet50,Healthcare,90.9,89.1,12,4.9,362.8,230,31.9,Mid-Range,Good,Chhattisgarh
Quantization,SqueezeNet,Education,91.8,90.3,32.7,17.2,344.4,251,18.6,Low-End,Good,Manipur
Knowledge Distillation,SqueezeNet,Healthcare,89.3,86.4,56,37.2,170.2,108.3,33.6,Mid-Range,Poor,Manipur
Weight Sharing,SqueezeNet,Healthcare,85.8,83.9,12.4,5.6,542.7,309.6,21.2,Low-End,Moderate,Rajasthan
Pruning,ResNet18,Agriculture,88,87.1,54.5,32,457.7,290.3,13.3,Mid-Range,Moderate,Chhattisgarh
Quantization,EfficientNet,Agriculture,86.5,83.7,38.9,12.8,542.6,291.8,31,Mid-Range,Good,Chhattisgarh
Knowledge Distillation,EfficientNet,Healthcare,88.1,85.8,84.1,28.3,536.1,329,35.9,Mid-Range,Poor,Assam
Weight Sharing,MobileNet,Education,87.9,86.4,13.2,7.7,420.5,291.2,38.6,Low-End,Moderate,Madhya Pradesh
Pruning,EfficientNet,Healthcare,92.5,91.4,51.5,28.3,528.3,325.9,25.6,Low-End,Good,West Bengal
Quantization,MobileNetV2,Education,85.1,84.3,96.8,59.1,417.5,302.5,34,Low-End,Poor,Assam
Knowledge Distillation,ResNet50,Education,93.4,91.8,76.1,29.7,331.4,225.5,13.9,Mid-Range,Good,Bihar
Weight Sharing,EfficientNet,Education,89.7,87.8,6,3.4,438.5,250.1,39.8,Mid-Range,Good,Uttar Pradesh
Pruning,MobileNet,Healthcare,87.9,86.6,13.6,4.1,376.6,256.1,39.8,Mid-Range,Good,West Bengal
Quantization,EfficientNet,Education,91.5,88.9,6.3,3.7,214.2,130.1,26.8,Low-End,Poor,Tamil Nadu
Knowledge Distillation,MobileNet,Education,91.6,89.3,54.4,23.7,464.2,305.2,13.9,Mid-Range,Poor,West Bengal
Weight Sharing,MobileNet,Healthcare,86.4,84,50.2,24.7,218.4,129.5,24.5,Mid-Range,Poor,Rajasthan
Pruning,SqueezeNet,Healthcare,87.6,86,59,30.3,248.5,158.2,14.1,Mid-Range,Moderate,Andhra Pradesh
Quantization,MobileNet,Healthcare,84.8,82.8,24.5,16.9,546.2,403.4,34.9,Low-End,Moderate,Madhya Pradesh
Knowledge Distillation,MobileNetV2,Agriculture,87.6,85,19.5,12.8,205.5,158.4,38.9,Mid-Range,Good,Uttar Pradesh
Weight Sharing,ResNet18,Healthcare,90,89.3,74.4,52,411.3,318.4,22.8,Mid-Range,Good,Chhattisgarh
Pruning,ResNet50,Healthcare,86.6,83.7,24.3,9.8,206.1,122.5,30.4,Low-End,Poor,Andhra Pradesh
Quantization,MobileNet,Agriculture,88.9,87.4,22.5,15.6,470.6,372.6,11.1,Mid-Range,Moderate,Rajasthan
Knowledge Distillation,ResNet50,Agriculture,88.4,86.5,21.9,7.3,543.7,302.2,35.3,Mid-Range,Good,Madhya Pradesh
Weight Sharing,ResNet18,Education,85.4,84.1,67.5,38.4,432.6,275.9,11.6,Low-End,Poor,Jharkhand
Pruning,MobileNet,Education,88.6,88.1,83.4,27.2,320.7,223.8,32.6,Low-End,Moderate,Andhra Pradesh
Quantization,ResNet18,Agriculture,89.1,86.2,49.2,15.9,422.7,308,28.4,Low-End,Moderate,Odisha
Knowledge Distillation,SqueezeNet,Education,84.7,82.9,43.8,20.1,590.3,307.9,24.9,Mid-Range,Moderate,Assam
Weight Sharing,MobileNet,Agriculture,84,82.4,65.9,34,377,242.8,28.2,Low-End,Moderate,Assam
Pruning,MobileNetV2,Healthcare,85,84.2,67.1,21,288.2,178.7,39.7,Low-End,Moderate,Uttar Pradesh
Quantization,SqueezeNet,Healthcare,87.1,84.2,56.5,33.7,302.5,213.9,10,Mid-Range,Moderate,Bihar
Knowledge Distillation,MobileNet,Agriculture,89.6,88.2,82,45.6,259.4,136.1,36,Mid-Range,Moderate,Tamil Nadu
Weight Sharing,ResNet50,Healthcare,91,88.7,97.4,40.2,295.9,164.3,29.5,Mid-Range,Poor,Manipur
Pruning,MobileNetV2,Healthcare,86.1,85.4,20,6.6,423.8,315.8,23.4,Mid-Range,Moderate,Tamil Nadu
Quantization,SqueezeNet,Healthcare,86.2,84,19.7,10.7,363.4,256.4,20.5,Mid-Range,Good,Odisha
Knowledge Distillation,MobileNet,Education,89.7,87.6,77.3,50.7,167.6,107.1,38.2,Mid-Range,Moderate,Tamil Nadu
Weight Sharing,ResNet50,Agriculture,87.8,86.4,43.3,15.7,217.8,115.3,20.1,Low-End,Good,Madhya Pradesh
Pruning,MobileNetV2,Healthcare,88.7,87.3,65.9,32.3,420.4,286,12.2,Low-End,Moderate,Rajasthan
Quantization,SqueezeNet,Agriculture,88.2,85.7,80.2,27.5,558.3,350.1,21.4,Low-End,Good,Andhra Pradesh
Knowledge Distillation,EfficientNet,Agriculture,88.3,86.2,36.8,25.2,199.3,101.5,29.2,Mid-Range,Poor,Odisha
Weight Sharing,ResNet50,Education,87.5,86.5,38.4,17.5,570.9,413.9,27.1,Low-End,Poor,Chhattisgarh
Pruning,SqueezeNet,Agriculture,93.9,91.4,32.6,10,181.2,103,17.4,Low-End,Moderate,Bihar
Quantization,ResNet18,Education,83.7,82.3,50,33.3,209.1,157,16.7,Mid-Range,Good,Chhattisgarh
Knowledge Distillation,MobileNet,Healthcare,84.6,82.9,33.1,17.3,446.8,236.5,14.3,Mid-Range,Poor,Tamil Nadu
Weight Sharing,ResNet50,Education,89.7,87.4,11.6,8,513.4,322.1,33.2,Mid-Range,Poor,West Bengal
Pruning,ResNet50,Agriculture,86.5,85.7,66.2,21.3,379.9,281.5,16.6,Mid-Range,Good,Jharkhand
Quantization,EfficientNet,Education,93,91.2,44,21.2,324.6,202.1,25.3,Mid-Range,Moderate,Odisha
Knowledge Distillation,ResNet18,Education,84.2,83.4,12.5,7.4,450.5,356.5,11.3,Mid-Range,Moderate,Jharkhand
Weight Sharing,MobileNetV2,Agriculture,89.2,86.5,96.1,44.5,489.9,337.8,10.5,Low-End,Good,Odisha
Pruning,EfficientNet,Agriculture,89.8,87.1,33.1,11.1,543.6,397.9,39.3,Low-End,Good,Chhattisgarh
Quantization,ResNet50,Healthcare,91.2,89.4,21.4,8.1,464.9,300.7,31.9,Mid-Range,Poor,Bihar
Knowledge Distillation,MobileNet,Agriculture,90.4,89.9,35.9,19.6,337.6,175.9,25.1,Mid-Range,Good,Rajasthan
Weight Sharing,SqueezeNet,Education,92.6,90.9,30.1,16.5,474,352.2,19.3,Low-End,Good,Andhra Pradesh
Pruning,ResNet50,Education,92,89.6,79.9,32.2,193.9,104.2,32.2,Low-End,Moderate,Rajasthan
Quantization,ResNet18,Healthcare,85.1,82.9,85.6,28.9,539.9,300.1,11.2,Low-End,Good,Odisha
Knowledge Distillation,EfficientNet,Agriculture,86.1,83.2,76.1,41.6,391.3,237.7,10,Low-End,Poor,Andhra Pradesh
Weight Sharing,EfficientNet,Education,84.7,83.9,98.8,40.9,429.8,259.6,20.5,Mid-Range,Good,West Bengal
Pruning,ResNet50,Education,89,87.2,63,41.5,270.9,156.6,19.1,Low-End,Good,Jharkhand
Quantization,MobileNet,Healthcare,90.6,89.4,48.8,18.5,154.3,115.3,29.2,Low-End,Poor,Assam
Knowledge Distillation,SqueezeNet,Agriculture,85.7,84.5,28.7,15.4,564.6,392.3,27.6,Low-End,Good,Chhattisgarh
Weight Sharing,ResNet18,Healthcare,87.3,84.8,70.1,34.8,386.2,233.1,21.1,Mid-Range,Moderate,Odisha
Pruning,MobileNetV2,Healthcare,89.7,87.4,71.2,33.6,466.2,330,33.7,Mid-Range,Good,Tamil Nadu
Quantization,EfficientNet,Agriculture,92.9,90.8,26.1,18.1,547.8,388,24.9,Mid-Range,Moderate,Manipur
Knowledge Distillation,SqueezeNet,Healthcare,83.8,82.7,66,46.2,358.6,258.2,26.5,Mid-Range,Poor,Tamil Nadu
Weight Sharing,EfficientNet,Agriculture,84.4,82.7,6.4,2,315.3,245.4,23.1,Low-End,Good,Tamil Nadu
Pruning,SqueezeNet,Healthcare,90.7,88,61.3,23.1,474.1,348.7,26.5,Low-End,Poor,Odisha
Quantization,SqueezeNet,Healthcare,86.5,84.2,23.1,15.1,505.1,347.2,37.4,Low-End,Good,Rajasthan
Knowledge Distillation,ResNet50,Agriculture,92.4,89.7,98.7,37.4,327.8,181.2,20,Low-End,Moderate,Assam
Weight Sharing,MobileNetV2,Healthcare,90.3,89.2,31.2,11,550.6,413.4,11.3,Mid-Range,Moderate,Madhya Pradesh
Pruning,ResNet18,Education,92.5,91.9,6.1,4,518.4,351.9,32.6,Low-End,Moderate,Bihar
Quantization,MobileNet,Education,83.1,80.5,75.4,26.2,236.1,129.9,23.1,Low-End,Poor,West Bengal
Knowledge Distillation,ResNet18,Education,89.8,88,44.7,21.4,504.3,301.7,15.4,Low-End,Poor,Assam
Weight Sharing,SqueezeNet,Agriculture,87.7,85.9,78.1,38.5,417,325.7,37.3,Mid-Range,Moderate,Tamil Nadu
Pruning,ResNet18,Education,88.4,86.9,67.5,41.7,164.5,100.9,35,Low-End,Poor,West Bengal
Quantization,SqueezeNet,Healthcare,89.5,88.7,24.1,10.2,375.3,264.1,16.8,Low-End,Poor,Odisha
Knowledge Distillation,SqueezeNet,Education,88.2,85.9,32.7,21.3,441.4,275.7,20.2,Low-End,Moderate,Rajasthan
Weight Sharing,MobileNet,Education,89.3,88.6,32.4,15.8,475.7,324.9,19.9,Low-End,Moderate,Chhattisgarh
Pruning,ResNet18,Education,93.2,91,34.1,11.6,592.1,338.7,23.5,Low-End,Poor,Rajasthan
Quantization,ResNet18,Agriculture,93.1,90.6,74.2,47.2,179.9,111.8,19.6,Low-End,Poor,Bihar
Knowledge Distillation,MobileNet,Education,91,89.6,72.4,49.2,383.2,257.6,20.5,Mid-Range,Moderate,Rajasthan
Weight Sharing,MobileNetV2,Education,89.2,88.5,80.3,34.4,432.1,328.3,35,Mid-Range,Moderate,Manipur
Pruning,MobileNet,Healthcare,91.4,88.6,94,28.8,369.6,265.6,11.9,Low-End,Moderate,Manipur
Quantization,MobileNet,Agriculture,92,90.5,27,9.5,193,151,34.9,Mid-Range,Good,Rajasthan
Knowledge Distillation,SqueezeNet,Healthcare,83.2,82,85,43,520.1,385,32.6,Low-End,Poor,Chhattisgarh
Weight Sharing,MobileNetV2,Education,93.6,91.8,18.4,7.6,598.7,474.9,28,Mid-Range,Moderate,Madhya Pradesh
Pruning,SqueezeNet,Agriculture,87.3,86.1,85.4,35.6,240.4,137.3,39.9,Mid-Range,Moderate,Bihar
Quantization,MobileNetV2,Agriculture,86.3,84.2,95.1,49.9,491.4,309.5,37.1,Low-End,Poor,Assam
Knowledge Distillation,MobileNet,Healthcare,92.9,90.2,65.5,39.6,479.8,323.9,36,Low-End,Good,Odisha
Weight Sharing,MobileNet,Agriculture,90.3,88.7,57.3,37.4,492,363.4,23.2,Low-End,Good,Tamil Nadu
Pruning,ResNet18,Education,90.6,89.5,59,23.5,490.2,384.1,30.6,Mid-Range,Poor,Assam
Quantization,MobileNet,Education,85,83,12.9,6.8,594.6,369.3,35.9,Low-End,Moderate,Chhattisgarh
Knowledge Distillation,ResNet50,Education,84.3,82.3,36.6,12.1,465,287.8,34.5,Low-End,Moderate,Assam
Weight Sharing,EfficientNet,Agriculture,86.4,83.7,48.6,30.9,587,433.2,34.6,Mid-Range,Good,Uttar Pradesh
Pruning,ResNet18,Education,91.6,90.7,49.8,24.3,570.4,402,39.1,Low-End,Poor,Manipur
Quantization,EfficientNet,Education,86.9,84.5,7.7,4.4,157.8,79,25.3,Mid-Range,Good,West Bengal
Knowledge Distillation,EfficientNet,Healthcare,91,89.5,96,62.9,472.8,353.4,39.2,Low-End,Moderate,Chhattisgarh
Weight Sharing,ResNet18,Agriculture,85.5,82.6,14,7.3,431.7,316.4,30.6,Low-End,Moderate,Madhya Pradesh
Pruning,EfficientNet,Agriculture,91.4,90.7,47.6,21.2,470.4,355.9,24.8,Mid-Range,Moderate,Tamil Nadu
Quantization,ResNet18,Education,89.7,88.2,41.5,22.1,506.1,294,34,Low-End,Moderate,Manipur
Knowledge Distillation,MobileNetV2,Agriculture,93.2,91.5,60.7,21.5,325.6,166.3,36.9,Low-End,Good,Chhattisgarh
Weight Sharing,ResNet50,Healthcare,91,88.2,35.6,11.3,540.3,301,27.4,Mid-Range,Poor,Tamil Nadu
Pruning,MobileNet,Agriculture,93.7,91.6,56.1,17.4,382.8,254.3,15.6,Mid-Range,Good,Jharkhand
Quantization,MobileNetV2,Healthcare,89.3,87.5,95.3,43.4,540.4,306.2,29.9,Low-End,Good,West Bengal
Knowledge Distillation,EfficientNet,Healthcare,93.6,92.2,5.4,1.7,186.1,144.7,15.5,Low-End,Moderate,Odisha
Weight Sharing,ResNet18,Healthcare,88,85.5,71.5,39.1,586.1,436.7,28.6,Low-End,Moderate,Andhra Pradesh
Pruning,ResNet50,Education,87.3,85.6,77.8,44.9,499.3,301.2,23.1,Mid-Range,Moderate,Manipur
Quantization,SqueezeNet,Education,85.3,82.4,46.9,19.3,397.5,231.7,12,Low-End,Moderate,Uttar Pradesh
Knowledge Distillation,EfficientNet,Agriculture,84,81.4,17.3,5.4,235.7,187,23.7,Low-End,Good,Chhattisgarh
Weight Sharing,ResNet18,Education,89.1,86.3,32.8,10.8,389.4,256.6,39.9,Low-End,Moderate,Tamil Nadu
Pruning,SqueezeNet,Healthcare,86.8,85.3,24.9,10.4,220.8,169.9,27.7,Low-End,Poor,Uttar Pradesh
Quantization,SqueezeNet,Education,85.9,83,91.9,40.7,458.7,320.5,34.7,Low-End,Poor,Odisha
Knowledge Distillation,ResNet18,Agriculture,88.7,85.9,54.7,35.6,181,129.2,31.3,Low-End,Poor,Odisha
Weight Sharing,MobileNet,Healthcare,84.2,82.7,24,10.4,520.2,331.8,32.8,Low-End,Moderate,Jharkhand
Pruning,MobileNetV2,Education,92.3,90.5,64.8,33,541.1,429.4,22.8,Low-End,Moderate,Manipur
Quantization,MobileNetV2,Education,92.3,91.1,55.3,21.9,506,301,16.8,Mid-Range,Good,Odisha
Knowledge Distillation,ResNet18,Agriculture,91.8,90.4,25.3,14.8,167.2,112.5,32.2,Mid-Range,Moderate,Uttar Pradesh
Weight Sharing,MobileNet,Agriculture,91.7,90.4,78.3,33.9,290.1,222.3,16,Low-End,Moderate,Rajasthan
Pruning,MobileNet,Agriculture,90.6,88.3,71.6,28.7,330.5,248.3,37.5,Low-End,Moderate,Tamil Nadu
Quantization,MobileNetV2,Agriculture,87.2,86.7,61.7,27.9,441.8,311.7,11.4,Low-End,Good,Madhya Pradesh
Knowledge Distillation,SqueezeNet,Education,85.7,84.6,55.1,25,233.4,140.5,37.4,Mid-Range,Poor,Assam
Weight Sharing,SqueezeNet,Healthcare,91.7,90.7,16.5,10.2,150.2,115.1,17,Mid-Range,Good,Andhra Pradesh
Pruning,SqueezeNet,Agriculture,85.1,83.8,56.3,28.3,410.3,312.3,32.5,Mid-Range,Moderate,Tamil Nadu
Quantization,EfficientNet,Healthcare,86.9,84.7,57,25.8,199.5,118.8,22.3,Low-End,Moderate,Rajasthan
Knowledge Distillation,ResNet50,Healthcare,87.1,86.6,39.4,16.7,244,186.4,15,Mid-Range,Good,Odisha
Weight Sharing,MobileNetV2,Healthcare,89.4,87.7,93.2,59.4,350.9,232.2,35.6,Low-End,Good,Bihar
Pruning,ResNet50,Healthcare,87.8,86.1,98.8,49.6,162.4,104.7,22.3,Low-End,Poor,Uttar Pradesh
Quantization,EfficientNet,Education,87.4,86.9,22.7,8.7,307.7,162,20.4,Mid-Range,Poor,Chhattisgarh
Knowledge Distillation,MobileNetV2,Agriculture,90.7,89.9,36.2,16.3,314.3,231.5,32.6,Low-End,Good,Chhattisgarh
Weight Sharing,MobileNet,Healthcare,91.5,89.6,48.5,19.1,369.2,253.7,35,Mid-Range,Moderate,Madhya Pradesh
Pruning,SqueezeNet,Education,83.7,81.2,61,28,207.9,105.6,29.8,Low-End,Good,Chhattisgarh
Quantization,ResNet18,Agriculture,89.9,89.3,27.1,16.4,193.3,101.5,19.3,Mid-Range,Good,Jharkhand
Knowledge Distillation,SqueezeNet,Education,83.1,80.7,39.3,23.3,272.2,159.6,31.7,Low-End,Good,Jharkhand
Weight Sharing,SqueezeNet,Education,90.6,88.7,77.4,46.2,579.8,377.9,34.2,Mid-Range,Moderate,Chhattisgarh
Pruning,MobileNet,Healthcare,87.7,85.1,26,14.3,568.2,369.6,38.7,Mid-Range,Moderate,West Bengal
Quantization,ResNet18,Education,86,84.3,30.9,13.3,386.2,260.2,22.9,Low-End,Moderate,Odisha
Knowledge Distillation,ResNet18,Agriculture,91.7,89.1,46.5,15.5,282.9,181,21.2,Low-End,Moderate,Uttar Pradesh
Weight Sharing,ResNet50,Agriculture,88.5,87.8,90.1,50.4,542.7,429.4,38.8,Mid-Range,Good,West Bengal
Pruning,MobileNet,Education,90.2,89.1,42.1,14.2,217,136.8,35.2,Low-End,Moderate,Manipur
Quantization,EfficientNet,Agriculture,93,91.6,91.2,61.3,546.1,435.9,34.4,Low-End,Poor,Assam
Knowledge Distillation,MobileNet,Healthcare,90.7,89.7,87.6,56.2,534.6,277.8,16.2,Mid-Range,Moderate,Bihar
Weight Sharing,EfficientNet,Healthcare,89.4,86.5,13.4,8.7,328.1,225.7,37.3,Mid-Range,Good,West Bengal
Pruning,EfficientNet,Agriculture,92.5,90.8,30.5,14,287.7,162.3,24.6,Mid-Range,Good,Tamil Nadu
Quantization,ResNet18,Education,93.6,91.6,63.2,39.3,442.6,304.3,17,Mid-Range,Good,Assam
Knowledge Distillation,MobileNetV2,Healthcare,85.8,83.8,32.6,16.1,497,296.5,29,Low-End,Poor,Jharkhand
Weight Sharing,EfficientNet,Agriculture,86.5,85.1,25.7,16.3,239.1,182.7,10,Low-End,Good,Jharkhand
Pruning,ResNet18,Healthcare,93.1,90.9,31,9.6,433,307.6,16.4,Low-End,Poor,West Bengal
Quantization,EfficientNet,Agriculture,86.1,84.6,32.4,21.2,485.5,348.2,17.8,Mid-Range,Poor,Assam
Knowledge Distillation,MobileNetV2,Healthcare,87.2,85.5,24.3,9.4,569,379.6,32.6,Mid-Range,Poor,West Bengal
Weight Sharing,ResNet18,Healthcare,93.6,91.2,35.2,15.8,213.9,166.7,19.3,Mid-Range,Good,Jharkhand
Pruning,MobileNetV2,Healthcare,91.4,90,69.6,29.4,515.5,372.4,39.7,Low-End,Good,Chhattisgarh
Quantization,EfficientNet,Education,92.6,91,13.6,8.4,471.9,329.4,15.7,Low-End,Moderate,Andhra Pradesh
Knowledge Distillation,SqueezeNet,Education,86.8,86.1,96.7,30.3,156.2,91.2,22.7,Low-End,Good,Uttar Pradesh
Weight Sharing,ResNet50,Healthcare,89.5,88.6,88.1,36.2,579.8,349.6,11.9,Low-End,Good,Rajasthan
Pruning,ResNet18,Education,93.2,92,94.6,34.5,559.6,434.8,21.4,Low-End,Poor,Andhra Pradesh
Quantization,SqueezeNet,Education,83.3,81.7,15.6,10,481.9,267.5,19.1,Low-End,Good,Manipur
Knowledge Distillation,ResNet50,Agriculture,90.9,89.1,81.8,41.7,175.2,135.1,15.1,Mid-Range,Good,Madhya Pradesh
Weight Sharing,ResNet18,Agriculture,83.2,81.8,24.3,7.8,338.9,177.6,21.9,Mid-Range,Moderate,Madhya Pradesh
Pruning,ResNet18,Education,93.9,91.6,69.6,28,363.3,275.1,10.7,Low-End,Moderate,Rajasthan
Quantization,MobileNet,Education,86.8,84.7,25.7,10.2,478.2,364.2,30.8,Low-End,Poor,West Bengal
Knowledge Distillation,EfficientNet,Healthcare,84,82.5,14.1,4.5,445.1,321.5,21.5,Low-End,Good,Manipur
Weight Sharing,ResNet18,Healthcare,83.4,81.6,44,27.7,429,293.5,21.8,Low-End,Poor,Uttar Pradesh
Pruning,MobileNetV2,Education,88.8,86.8,72.2,22.2,429.4,311.5,11.8,Low-End,Poor,Odisha
Quantization,ResNet50,Agriculture,88.3,87.7,9.5,3.2,502.9,368.1,18.1,Low-End,Good,West Bengal
Knowledge Distillation,EfficientNet,Agriculture,92.2,90.5,74.7,26.3,380.4,223.2,39.9,Low-End,Good,Jharkhand
Weight Sharing,MobileNetV2,Healthcare,89.2,87.3,38.6,22,170.4,118.7,33.8,Mid-Range,Moderate,Tamil Nadu
